portfolio,date,campaign_name,campaign_id,impressions,reach,clicks,spend,cpm,cpc,ctr,purchases,revenue,roas,cpa
Rumah Ningrat Pejambon,2026-03-21,THR Promo Awareness Broad,120242139813150149,1472,1472,15,7743.0,5260.19,516.2,1.02,0,0,0,0
Rumah Ningrat Pejambon,2026-03-22,THR Promo Awareness Broad,120242139813150149,6871,5396,204,56607.0,8238.54,277.49,2.97,0,0,0,0
Rumah Ningrat Pejambon,2026-03-23,THR Promo Awareness Broad,120242139813150149,2547,2217,60,17213.0,6758.15,286.88,2.36,0,0,0,0
Rumah Ningrat Pejambon,2026-03-24,THR Promo Awareness Broad,120242139813150149,2027,2007,20,9011.0,4445.49,450.55,0.99,0,0,0,0
Rumah Ningrat Pejambon,2026-03-24,THR Promo Leads New,120242370941270149,2223,1989,39,23514.0,10577.6,602.92,1.75,0,0,0,0
Rumah Ningrat Pejambon,2026-03-25,THR Promo Leads New,120242370941270149,1461,1238,25,21047.0,14405.89,841.88,1.71,0,0,0,0
Rumah Ningrat Pejambon,2026-03-26,RN Pejambon Leads,120242449474510149,4486,3689,164,48759.0,10869.15,297.31,3.66,0,0,0,0
Rumah Ningrat Pejambon,2026-03-27,RN Pejambon Leads,120242449474510149,9376,7545,319,103349.0,11022.72,323.98,3.4,0,0,0,0
Rumah Ningrat Pejambon,2026-03-28,RN Pejambon Leads,120242449474510149,10958,8798,394,110981.0,10127.85,281.68,3.6,0,0,0,0
Rumah Ningrat Pejambon,2026-03-29,RN Pejambon Leads,120242449474510149,13741,11070,527,117638.0,8561.09,223.22,3.84,0,0,0,0
Rumah Ningrat Pejambon,2026-03-30,RN Pejambon Leads,120242449474510149,4899,3990,142,60242.0,12296.8,424.24,2.9,0,0,0,0
Rumah Ningrat Pejambon,2026-03-31,RN Pejambon Leads,120242449474510149,8304,6498,262,99947.0,12036.01,381.48,3.16,0,0,0,0
Rumah Ningrat Pejambon,2026-04-01,RN Pejambon Leads,120242449474510149,7865,6398,181,99126.0,12603.43,547.66,2.3,0,0,0,0
Rumah Ningrat Pejambon,2026-04-02,RN Pejambon Leads,120242449474510149,14652,12646,346,133425.0,9106.27,385.62,2.36,0,0,0,0
Rumah Ningrat Pejambon,2026-04-03,RN Pejambon Leads,120242449474510149,1358,1225,40,24748.0,18223.86,618.7,2.95,0,0,0,0
